county_name,cbp_small_biz_count,crunchbase_count,state_abbv,pop_est_2013,state_name,crunchbase_per_capita,cbp_per_capita,land_area_sqmile,pop_density
Eddy County,1333,0,NM,55471,New Mexico,0,0.024030575,630.171,3.81483756
Edgecombe County,746,5,NC,55574,North Carolina,8.99701E-05,0.013423543,505.336,109.9743537
Saline County,1561,2,KS,55740,Kansas,3.58809E-05,0.028005023,755.504,30.77680595
Gordon County,981,0,GA,55757,Georgia,0,0.017594203,355.808,156.7053017
Cherokee County,972,0,SC,55885,South Carolina,0,0.01739286,576.906,20.70527954
Seneca County,1138,0,OH,55914,Ohio,0,0.020352684,551.017,101.4741832
Maverick County,769,0,TX,55932,Texas,0,0.013748838,1279.258,43.72222022
Windsor County,2041,12,VT,56067,Vermont,0.00021403,0.036402875,969.337,57.84056525
Pickaway County,783,3,OH,56304,Ohio,5.32822E-05,0.01390665,501.32,112.3114976
Franklin County,1159,0,VA,56335,Virginia,0,0.020573356,581.972,18.12458331
Pike County,887,1,PA,56591,Pennsylvania,1.76707E-05,0.01567387,440.282,64.42916131
Putnam County,1217,0,WV,56650,West Virginia,0,0.021482789,480.528,78.04956215
Columbia County,1376,0,WI,56653,Wisconsin,0,0.024288211,765.529,74.00503443
Hawkins County,589,0,TN,56800,Tennessee,0,0.010369718,486.975,116.6384311
Marion County,1219,2,WV,56868,West Virginia,3.51692E-05,0.021435605,542.384,48.2683855
Kenai Peninsula Borough,2057,0,AK,57147,Alaska,0,0.03599489,16075.331,3.554950128
Columbus County,1009,0,NC,57246,North Carolina,0,0.017625686,937.293,61.07588556
Oxford County,1284,2,ME,57277,Maine,3.4918E-05,0.022417375,2076.84,27.57891797
Garfield County,2408,1,CO,57302,Colorado,1.74514E-05,0.042022966,4675.356,0.275914818
Carter County,685,0,TN,57338,Tennessee,0,0.011946702,341.203,168.0465881
Cumberland County,1082,0,TN,57466,Tennessee,0,0.018828525,652.315,499.560795
Whiteside County,1241,0,IL,57557,Illinois,0,0.021561235,684.25,84.11691633
Otter Tail County,1686,0,MN,57581,Minnesota,0,0.029280492,1972.068,29.19828322
San Benito County,926,0,CA,57600,California,0,0.016076389,1388.71,41.47734228
Blount County,659,0,AL,57872,Alabama,0,0.011387199,558.706,223.9084599
Anderson County,914,1,TX,57938,Texas,1.72598E-05,0.015775484,337.162,224.0525326
Granville County,832,2,NC,58275,North Carolina,3.432E-05,0.014277134,531.57,109.6280828
Lamar County,1282,0,MS,58801,Mississippi,0,0.02180235,604.846,23.53656964
Newton County,1294,0,MO,58845,Missouri,0,0.021989974,933.677,15.14442361
Huron County,1132,0,OH,58889,Ohio,0,0.019222605,491.495,119.8160714
Lenoir County,1254,0,NC,58914,North Carolina,0,0.021285263,400.591,147.0677075
Barry County,867,1,MI,59097,Michigan,1.69213E-05,0.014670795,553.092,106.8484086
Haywood County,1374,1,NC,59183,North Carolina,1.68967E-05,0.023216126,553.692,106.8879449
Vermilion Parish,1045,0,LA,59253,Louisiana,0,0.017636238,1173.199,50.50549821
Washington County,2212,6,VT,59319,Vermont,0.000101148,0.037289907,2518.031,1.90744276
Genesee County,1343,6,NY,59454,New York,0.000100918,0.022588892,636.977,652.1051781
Broomfield County,1800,73,CO,59471,Colorado,0.001227489,0.030266853,33.034,1800.296664
Walla Walla County,1341,1,WA,59530,Washington,1.67983E-05,0.022526457,1270.129,46.86925501
Laurel County,1139,4,KY,59563,Kentucky,6.71558E-05,0.01912261,433.953,137.2567997
Russell County,781,1,AL,59585,Alabama,1.67827E-05,0.013107326,253.657,69.9842701
Walton County,1871,14,FL,59807,Florida,0.000234086,0.031283963,1037.625,57.63835682
Jackson County,1308,1,IL,59814,Illinois,1.67185E-05,0.02186779,802.651,32.50229552
Lowndes County,1493,0,MS,59922,Mississippi,0,0.024915724,715.911,14.95018236
Duplin County,834,0,NC,60084,North Carolina,0,0.013880567,816.219,73.61259662
Sandusky County,1303,3,OH,60098,Ohio,4.99185E-05,0.021681254,408.453,147.1356558
Belknap County,1762,1,NH,60179,New Hampshire,1.66171E-05,0.029279317,400.232,150.360291
Lee County,1266,0,NC,60266,North Carolina,0,0.02100687,602.621,16.61906903
Georgetown County,1760,1,SC,60440,South Carolina,1.65453E-05,0.029119788,813.547,74.29195855
Boone County,1409,4,IN,60477,Indiana,6.61408E-05,0.023298113,571.569,46.12566462
Mason County,986,0,WA,60497,Washington,0,0.016298329,430.748,62.97417516
Rutland County,2163,2,VT,60622,Vermont,3.29913E-05,0.035680116,929.821,65.197495
Stanly County,1298,1,NC,60635,North Carolina,1.64921E-05,0.021406778,395.086,153.4729148
Clay County,1246,0,MN,60661,Minnesota,0,0.02054038,572.289,11.169182
Hall County,1809,0,NE,60720,Nebraska,0,0.02979249,883.492,3.666133932
Tooele County,756,1,UT,60762,Utah,1.64577E-05,0.012441987,6941.352,8.753626095
Knox County,1057,0,OH,60810,Ohio,0,0.01738201,386.297,82.29419333
